gene_symbol	ensembl_gene_id	ensembl_transcript_id	ensembl_protein_id	refseq_transcript_id	refseq_gene_id	refseq_protein_id
PAF1	ENSG00000006712.17	ENST00000221265.8	ENSP00000221265.2	NM_019088.4	54623	NP_061961.2
PAFAH1B1	ENSG00000007168.17	ENST00000397195.10	ENSP00000380378.4	NM_000430.4	5048	NP_000421.1
PAFAH1B2	ENSG00000168092.16	ENST00000527958.6	ENSP00000435289.1	NM_002572.4	5049	NP_002563.1
PAFAH1B3	ENSG00000079462.10	ENST00000262890.8	ENSP00000262890.2	NM_002573.4	5050	NP_002564.1
PAFAH2	ENSG00000158006.16	ENST00000374282.8	ENSP00000363400.3	NM_000437.4	5051	NP_000428.2
PAG1	ENSG00000076641.6	ENST00000220597.4	ENSP00000220597.3	NM_018440.4	55824	NP_060910.3
PAGE1	ENSG00000068985.6	ENST00000376150.4	ENSP00000365320.3	NM_003785.4	8712	NP_003776.2
PAGE2	ENSG00000234068.8	ENST00000374968.9	ENSP00000364107.4	NM_207339.4	203569	NP_997222.1
PAGE2B	ENSG00000238269.11	ENST00000374971.2	ENSP00000364110.1	NM_001015038.3	389860	NP_001015038.1
PAGE3	ENSG00000204279.9	ENST00000374951.6	ENSP00000364089.1	NM_001017931.3	139793	NP_001017931.3
PAGE4	ENSG00000101951.20	ENST00000218068.7	ENSP00000218068.6	NM_007003.4	9506	NP_008934.1
PAGE5	ENSG00000158639.14	ENST00000374955.8	ENSP00000364093.3	NM_001013435.3	90737	NP_001013453.1
PAGR1	ENSG00000280789.3	ENST00000320330.8	ENSP00000326519.6	NM_024516.4	79447	NP_078792.1
PAH	ENSG00000171759.12	ENST00000553106.6	ENSP00000448059.1	NM_000277.3	5053	NP_000268.1
PAICS	ENSG00000128050.11	ENST00000512576.3	ENSP00000421096.1	NM_001079524.2	10606	NP_001072992.1
PAIP1	ENSG00000172239.16	ENST00000306846.8	ENSP00000302768.3	NM_006451.5	10605	NP_006442.2
PAIP2	ENSG00000120727.15	ENST00000265192.9	ENSP00000265192.4	NM_016480.5	51247	NP_057564.3
PAIP2B	ENSG00000124374.11	ENST00000244221.9	ENSP00000244221.8	NM_020459.1	400961	NP_065192.1
PAK1	ENSG00000149269.12	ENST00000356341.8	ENSP00000348696.4	NM_002576.5	5058	NP_002567.3
PAK1IP1	ENSG00000111845.7	ENST00000379568.4	ENSP00000368887.3	NM_017906.3	55003	NP_060376.2
PAK2	ENSG00000180370.12	ENST00000327134.7	ENSP00000314067.3	NM_002577.4	5062	NP_002568.2
PAK3	ENSG00000077264.19	ENST00000372007.10	ENSP00000361077.4	NM_002578.5	5063	NP_002569.1
PAK4	ENSG00000130669.19	ENST00000360442.8	ENSP00000353625.3	NM_005884.5	10298	NP_005875.1
PAK5	ENSG00000101349.18	ENST00000353224.10	ENSP00000322957.5	NM_177990.4	57144	NP_817127.1
PAK6	ENSG00000137843.14	ENST00000560346.6	ENSP00000453858.1	NM_001395430.1	56924	NP_001382359.1
PALB2	ENSG00000083093.14	ENST00000261584.9	ENSP00000261584.4	NM_024675.4	79728	NP_078951.2
PALD1	ENSG00000107719.12	ENST00000263563.7	ENSP00000263563.5	NM_014431.3	27143	NP_055246.2
PALLD	ENSG00000129116.22	ENST00000505667.6	ENSP00000425556.1	NM_001166108.2	23022	NP_001159580.1
PALM	ENSG00000099864.20	ENST00000338448.10	ENSP00000341911.4	NM_002579.3	5064	NP_002570.2
PALM2AKAP2	ENSG00000157654.21	ENST00000374530.8	ENSP00000363654.3	NM_007203.5	445815	NP_009134.1
PALM3	ENSG00000187867.12	ENST00000669674.2	ENSP00000499271.1	NM_001145028.2	342979	NP_001138500.2
PALMD	ENSG00000099260.14	ENST00000263174.9	ENSP00000263174.4	NM_017734.5	54873	NP_060204.1
PALS1	ENSG00000072415.12	ENST00000261681.9	ENSP00000261681.4	NM_022474.4	64398	NP_071919.2
PALS2	ENSG00000105926.18	ENST00000222644.10	ENSP00000222644.4	NM_001303037.2	51678	NP_001289966.1
PAM	ENSG00000145730.23	ENST00000438793.8	ENSP00000396493.3	NM_001177306.2	5066	NP_001170777.1
PAM16	ENSG00000217930.10	ENST00000318059.8	ENSP00000315693.3	NM_016069.11	51025	NP_057153.8
PAMR1	ENSG00000149090.15	ENST00000619888.5	ENSP00000483703.1	NM_001001991.3	25891	NP_001001991.1
PAN2	ENSG00000135473.18	ENST00000440411.8	ENSP00000388231.3	NM_014871.6	9924	NP_055686.4
PAN3	ENSG00000152520.16	ENST00000380958.8	ENSP00000370345.3	NM_175854.8	255967	NP_787050.6
PANK1	ENSG00000152782.21	ENST00000307534.10	ENSP00000302108.5	NM_148977.3	53354	NP_683878.2
PANK2	ENSG00000125779.25	ENST00000610179.7	ENSP00000477429.2	NM_001386393.1	80025	NP_001373322.1
PANK3	ENSG00000120137.9	ENST00000239231.7	ENSP00000239231.6	NM_024594.4	79646	NP_078870.1
PANK4	ENSG00000157881.18	ENST00000378466.9	ENSP00000367727.5	NM_018216.4	55229	NP_060686.3
PANX1	ENSG00000110218.11	ENST00000227638.8	ENSP00000227638.3	NM_015368.4	24145	NP_056183.2
PANX2	ENSG00000073150.15	ENST00000395842.3	ENSP00000379183.2	NM_052839.4	56666	NP_443071.2
PANX3	ENSG00000154143.3	ENST00000284288.3	ENSP00000284288.2	NM_052959.3	116337	NP_443191.1
PAOX	ENSG00000148832.18	ENST00000278060.10	ENSP00000278060.5	NM_152911.4	196743	NP_690875.1
PAPLN	ENSG00000100767.19	ENST00000644200.2	ENSP00000495882.2	NM_001365906.3	89932	NP_001352835.1
PAPOLA	ENSG00000090060.21	ENST00000216277.13	ENSP00000216277.8	NM_032632.5	10914	NP_116021.2
PAPOLB	ENSG00000218823.2	ENST00000404991.2	ENSP00000384700.2	NM_020144.5	56903	NP_064529.4
PAPOLG	ENSG00000115421.15	ENST00000238714.8	ENSP00000238714.3	NM_022894.4	64895	NP_075045.2
PAPPA	ENSG00000182752.11	ENST00000328252.4	ENSP00000330658.3	NM_002581.5	5069	NP_002572.2
PAPPA2	ENSG00000116183.12	ENST00000367662.5	ENSP00000356634.3	NM_020318.3	60676	NP_064714.2
PAPSS1	ENSG00000138801.11	ENST00000265174.5	ENSP00000265174.4	NM_005443.5	9061	NP_005434.4
PAPSS2	ENSG00000198682.15	ENST00000456849.2	ENSP00000406157.1	NM_001015880.2	9060	NP_001015880.1
PAQR3	ENSG00000163291.16	ENST00000512733.5	ENSP00000421981.1	NM_001040202.2	152559	NP_001035292.1
PAQR4	ENSG00000162073.16	ENST00000318782.9	ENSP00000321804.8	NM_152341.5	124222	NP_689554.2
PAQR5	ENSG00000137819.16	ENST00000395407.7	ENSP00000378803.2	NM_017705.4	54852	NP_060175.3
PAQR6	ENSG00000160781.19	ENST00000292291.10	ENSP00000292291.5	NM_198406.3	79957	NP_940798.1
PAQR7	ENSG00000182749.8	ENST00000675840.1	ENSP00000502514.1	NM_178422.6	164091	NP_848509.1
PAQR8	ENSG00000170915.11	ENST00000442253.3	ENSP00000406197.2	NM_133367.5	85315	NP_588608.1
PAQR9	ENSG00000188582.11	ENST00000340634.6	ENSP00000341564.4	NM_198504.4	344838	NP_940906.1
PARD3	ENSG00000148498.19	ENST00000374788.8	ENSP00000363920.3	NM_001184785.2	56288	NP_001171714.1
PARD3B	ENSG00000116117.21	ENST00000406610.7	ENSP00000385848.2	NM_001302769.2	117583	NP_001289698.1
PARD6A	ENSG00000102981.12	ENST00000458121.7	ENSP00000392388.1	NM_001037281.2	50855	NP_001032358.1
PARD6B	ENSG00000124171.11	ENST00000371610.7	ENSP00000360672.2	NM_032521.3	84612	NP_115910.1
PARD6G	ENSG00000178184.17	ENST00000353265.8	ENSP00000343144.3	NM_032510.4	84552	NP_115899.1
PARG	ENSG00000227345.11	ENST00000616448.2	ENSP00000484285.1	NM_003631.5	8505	NP_003622.2
PARK7	ENSG00000116288.15	ENST00000338639.10	ENSP00000340278.5	NM_007262.5	11315	NP_009193.2
PARL	ENSG00000175193.16	ENST00000317096.9	ENSP00000325421.5	NM_018622.7	55486	NP_061092.3
PARM1	ENSG00000169116.13	ENST00000307428.7	ENSP00000370224.3	NM_015393.4	25849	NP_056208.2
PARN	ENSG00000140694.20	ENST00000437198.7	ENSP00000387911.2	NM_002582.4	5073	NP_002573.1
PARP1	ENSG00000143799.16	ENST00000366794.10	ENSP00000355759.5	NM_001618.4	142	NP_001609.2
PARP10	ENSG00000178685.16	ENST00000313028.12	ENSP00000325618.7	NM_032789.5	84875	NP_116178.2
PARP11	ENSG00000111224.16	ENST00000228820.9	ENSP00000228820.4	NM_020367.6	57097	NP_065100.2
PARP12	ENSG00000059378.15	ENST00000263549.8	ENSP00000263549.3	NM_022750.4	64761	NP_073587.1
PARP14	ENSG00000173193.17	ENST00000474629.7	ENSP00000418194.2	NM_017554.3	54625	NP_060024.2
PARP15	ENSG00000173200.15	ENST00000464300.7	ENSP00000417214.2	NM_001113523.3	165631	NP_001106995.1
PARP16	ENSG00000138617.18	ENST00000649807.2	ENSP00000496935.1	NM_001316943.2	54956	NP_001303872.1
PARP2	ENSG00000129484.16	ENST00000429687.8	ENSP00000392972.3	NM_001042618.2	10038	NP_001036083.1
PARP3	ENSG00000041880.17	ENST00000398755.8	ENSP00000381740.4	NM_001003931.4	10039	NP_001003931.4
PARP4	ENSG00000102699.8	ENST00000381989.4	ENSP00000371419.3	NM_006437.4	143	NP_006428.2
PARP6	ENSG00000137817.20	ENST00000569795.6	ENSP00000456348.1	NM_001323532.2	56965	NP_001310461.1
PARP8	ENSG00000151883.22	ENST00000281631.10	ENSP00000281631.4	NM_024615.4	79668	NP_078891.2
PARP9	ENSG00000138496.19	ENST00000682323.1	ENSP00000507390.1	NM_001146105.2	83666	NP_001139577.1
PARPBP	ENSG00000185480.14	ENST00000327680.7	ENSP00000332915.3	NM_017915.5	55010	NP_060385.3
PARS2	ENSG00000162396.8	ENST00000371279.4	ENSP00000360327.3	NM_152268.4	25973	NP_689481.2
PARVA	ENSG00000197702.16	ENST00000334956.15	ENSP00000334008.9	NM_018222.5	55742	NP_060692.3
PARVB	ENSG00000188677.16	ENST00000338758.12	ENSP00000342492.6	NM_013327.5	29780	NP_037459.2
PARVG	ENSG00000138964.20	ENST00000444313.8	ENSP00000391583.2	NM_022141.7	64098	NP_071424.1
PASD1	ENSG00000166049.11	ENST00000370357.5	ENSP00000359382.4	NM_173493.3	139135	NP_775764.2
PASK	ENSG00000115687.16	ENST00000234040.9	ENSP00000234040.5	NM_015148.4	23178	NP_055963.2
PATE1	ENSG00000171053.10	ENST00000305738.10	ENSP00000307164.4	NM_138294.3	160065	NP_612151.1
PATE2	ENSG00000196844.9	ENST00000358524.8	ENSP00000351325.3	NM_212555.3	399967	NP_997720.1
PATE3	ENSG00000236027.3	ENST00000445202.2	ENSP00000395505.1	NM_001129883.4	100169851	NP_001123355.3
PATE4	ENSG00000237353.7	ENST00000457514.3	ENSP00000411439.2	NM_001144874.1	399968	NP_001138346.1
PATJ	ENSG00000132849.23	ENST00000642238.2	ENSP00000494277.1	NM_001350145.3	10207	NP_001337074.2
PATL1	ENSG00000166889.16	ENST00000300146.10	ENSP00000300146.9	NM_152716.3	219988	NP_689929.2
PATL2	ENSG00000229474.10	ENST00000682850.1	ENSP00000508024.1	NM_001387263.1	197135	NP_001374192.1
PATZ1	ENSG00000100105.20	ENST00000266269.10	ENSP00000266269.5	NM_014323.3	23598	NP_055138.2
PAWR	ENSG00000177425.13	ENST00000328827.9	ENSP00000328088.4	NM_002583.4	5074	NP_002574.2
PAX1	ENSG00000125813.16	ENST00000613128.5	ENSP00000481334.1	NM_001257096.2	5075	NP_001244025.1
PAX2	ENSG00000075891.26	ENST00000355243.8	ENSP00000347385.3	NM_000278.5	5076	NP_000269.3
PAX3	ENSG00000135903.21	ENST00000392070.7	ENSP00000375922.3	NM_181458.4	5077	NP_852123.1
PAX4	ENSG00000106331.20	ENST00000639438.3	ENSP00000491782.1	NM_001366110.1	5078	NP_001353039.1
PAX5	ENSG00000196092.14	ENST00000358127.9	ENSP00000350844.4	NM_016734.3	5079	NP_057953.1
PAX6	ENSG00000007372.26	ENST00000640368.2	ENSP00000492024.1	NM_001368894.2	5080	NP_001355823.1
PAX7	ENSG00000009709.15	ENST00000420770.7	ENSP00000403389.2	NM_001135254.2	5081	NP_001128726.1
PAX8	ENSG00000125618.20	ENST00000429538.8	ENSP00000395498.3	NM_003466.4	7849	NP_003457.1
PAX9	ENSG00000198807.13	ENST00000361487.7	ENSP00000355245.6	NM_001372076.1	5083	NP_001359005.1
PAXBP1	ENSG00000159086.17	ENST00000331923.9	ENSP00000328992.4	NM_016631.4	94104	NP_057715.2
PAXIP1	ENSG00000157212.22	ENST00000404141.6	ENSP00000384048.1	NM_007349.4	22976	NP_031375.3
PAXX	ENSG00000310560.3	ENST00000371620.4	ENSP00000360682.3	NM_183241.3	286257	NP_899064.1
PBDC1	ENSG00000102390.14	ENST00000373358.8	ENSP00000362456.3	NM_016500.5	51260	NP_057584.2
PBK	ENSG00000168078.12	ENST00000301905.9	ENSP00000301905.4	NM_018492.4	55872	NP_060962.2
PBLD	ENSG00000108187.18	ENST00000358769.7	ENSP00000351619.2	NM_022129.4	64081	NP_071412.2
PBOV1	ENSG00000254440.3	ENST00000527246.3	ENSP00000432353.1	NM_021635.3	59351	NP_067648.1
PBRM1	ENSG00000163939.21	ENST00000707071.1	ENSP00000516722.1	NM_001405607.1	55193	NP_001392536.1
PBX1	ENSG00000185630.21	ENST00000420696.7	ENSP00000405890.2	NM_002585.4	5087	NP_002576.1
PBX2	ENSG00000204304.13	ENST00000375050.6	ENSP00000364190.3	NM_002586.5	5089	NP_002577.2
PBX3	ENSG00000167081.20	ENST00000373489.10	ENSP00000362588.5	NM_006195.6	5090	NP_006186.1
PBX4	ENSG00000105717.16	ENST00000251203.14	ENSP00000251203.5	NM_025245.3	80714	NP_079521.1
PBXIP1	ENSG00000163346.19	ENST00000368463.8	ENSP00000357448.3	NM_020524.4	57326	NP_065385.2
PC	ENSG00000173599.17	ENST00000393960.7	ENSP00000377532.1	NM_001040716.2	5091	NP_001035806.1
PCARE	ENSG00000179270.8	ENST00000331664.6	ENSP00000332809.4	NM_001029883.3	388939	NP_001025054.1
PCBD1	ENSG00000166228.11	ENST00000299299.4	ENSP00000299299.3	NM_000281.4	5092	NP_000272.1
PCBD2	ENSG00000132570.17	ENST00000254908.11	ENSP00000254908.6	NM_032151.5	84105	NP_115527.3
PCBP1	ENSG00000169564.7	ENST00000303577.7	ENSP00000305556.5	NM_006196.4	5093	NP_006187.2
PCBP2	ENSG00000197111.18	ENST00000546463.6	ENSP00000448762.2	NM_031989.5	5094	NP_114366.1
PCBP3	ENSG00000183570.19	ENST00000681687.1	ENSP00000505796.1	NM_001384156.1	54039	NP_001371085.1
PCBP4	ENSG00000090097.24	ENST00000461554.6	ENSP00000417196.1	NM_001174100.2	57060	NP_001167571.1
PCCA	ENSG00000175198.19	ENST00000376285.6	ENSP00000365462.1	NM_000282.4	5095	NP_000273.2
PCCB	ENSG00000114054.16	ENST00000251654.9	ENSP00000251654.4	NM_000532.5	5096	NP_000523.2
PCDH1	ENSG00000156453.15	ENST00000287008.8	ENSP00000287008.3	NM_032420.5	5097	NP_115796.2
PCDH10	ENSG00000138650.10	ENST00000264360.7	ENSP00000264360.4	NM_032961.3	57575	NP_116586.1
PCDH11X	ENSG00000102290.23	ENST00000682573.1	ENSP00000507225.1	NM_032968.5	27328	NP_116750.1
PCDH11Y	ENSG00000099715.16	ENST00000698851.1	ENSP00000513983.1	NM_001395587.1	83259	NP_001382516.1
PCDH12	ENSG00000113555.6	ENST00000231484.4	ENSP00000231484.3	NM_016580.4	51294	NP_057664.1
PCDH15	ENSG00000150275.21	ENST00000644397.2	ENSP00000495195.1	NM_001384140.1	65217	NP_001371069.1
PCDH15	ENSG00000150275.21	ENST00000320301.11	ENSP00000322604.6	NM_033056.4	65217	NP_149045.3
PCDH17	ENSG00000118946.13	ENST00000377918.8	ENSP00000367151.3	NM_001040429.3	27253	NP_001035519.1
PCDH18	ENSG00000189184.13	ENST00000344876.9	ENSP00000355082.4	NM_019035.5	54510	NP_061908.1
PCDH19	ENSG00000165194.17	ENST00000373034.8	ENSP00000362125.4	NM_001184880.2	57526	NP_001171809.1
PCDH20	ENSG00000280165.3	ENST00000409204.5	ENSP00000387250.3	NM_022843.4	64881	NP_073754.2
PCDH7	ENSG00000169851.18	ENST00000695919.1	ENSP00000512266.1	NM_001173523.2	5099	NP_001166994.1
PCDH8	ENSG00000136099.13	ENST00000377942.7	ENSP00000367177.3	NM_002590.4	5100	NP_002581.2
PCDH9	ENSG00000184226.16	ENST00000377865.7	ENSP00000367096.2	NM_203487.3	5101	NP_982354.1
PCDHA1	ENSG00000204970.11	ENST00000504120.4	ENSP00000420840.3	NM_018900.4	56147	NP_061723.1
PCDHA10	ENSG00000250120.9	ENST00000307360.6	ENSP00000304234.5	NM_018901.4	56139	NP_061724.1
PCDHA11	ENSG00000249158.8	ENST00000398640.7	ENSP00000381636.3	NM_018902.5	56138	NP_061725.1
PCDHA12	ENSG00000251664.6	ENST00000398631.3	ENSP00000381628.2	NM_018903.4	56137	NP_061726.1
PCDHA13	ENSG00000239389.9	ENST00000289272.3	ENSP00000289272.2	NM_018904.3	56136	NP_061727.1
PCDHA2	ENSG00000204969.8	ENST00000526136.2	ENSP00000431748.1	NM_018905.3	56146	NP_061728.1
PCDHA3	ENSG00000255408.5	ENST00000522353.3	ENSP00000429808.2	NM_018906.3	56145	NP_061729.1
PCDHA4	ENSG00000204967.14	ENST00000530339.2	ENSP00000435300.1	NM_018907.4	56144	NP_061730.1
PCDHA5	ENSG00000204965.10	ENST00000529859.2	ENSP00000436557.1	NM_018908.3	56143	NP_061731.1
PCDHA6	ENSG00000081842.19	ENST00000529310.6	ENSP00000433378.1	NM_018909.4	56142	NP_061732.1
PCDHA7	ENSG00000204963.7	ENST00000525929.2	ENSP00000436426.1	NM_018910.3	56141	NP_061733.1
PCDHA8	ENSG00000204962.7	ENST00000531613.2	ENSP00000434655.1	NM_018911.3	56140	NP_061734.1
PCDHA9	ENSG00000204961.8	ENST00000532602.2	ENSP00000436042.2	NM_031857.2	9752	NP_114063.1
PCDHAC1	ENSG00000248383.6	ENST00000253807.3	ENSP00000253807.2	NM_018898.5	56135	NP_061721.2
PCDHAC2	ENSG00000243232.7	ENST00000289269.7	ENSP00000289269.5	NM_018899.6	56134	NP_061722.1
PCDHB1	ENSG00000171815.6	ENST00000306549.6	ENSP00000307234.4	NM_013340.4	29930	NP_037472.2
PCDHB10	ENSG00000120324.9	ENST00000239446.6	ENSP00000239446.4	NM_018930.4	56126	NP_061753.1
PCDHB11	ENSG00000197479.7	ENST00000354757.5	ENSP00000346802.3	NM_018931.3	56125	NP_061754.1
PCDHB12	ENSG00000120328.6	ENST00000239450.4	ENSP00000239450.2	NM_018932.4	56124	NP_061755.1
PCDHB13	ENSG00000187372.11	ENST00000341948.6	ENSP00000345491.4	NM_018933.4	56123	NP_061756.1
PCDHB14	ENSG00000120327.7	ENST00000239449.7	ENSP00000239449.4	NM_018934.4	56122	NP_061757.1
PCDHB15	ENSG00000113248.6	ENST00000231173.6	ENSP00000231173.3	NM_018935.4	56121	NP_061758.1
PCDHB16	ENSG00000272674.4	ENST00000609684.3	ENSP00000477314.1	NM_020957.4	57717	NP_066008.2
PCDHB2	ENSG00000112852.8	ENST00000194155.7	ENSP00000194155.4	NM_018936.4	56133	NP_061759.1
PCDHB3	ENSG00000113205.5	ENST00000231130.3	ENSP00000231130.2	NM_018937.5	56132	NP_061760.2
PCDHB4	ENSG00000081818.4	ENST00000194152.4	ENSP00000194152.1	NM_018938.4	56131	NP_061761.1
PCDHB5	ENSG00000113209.9	ENST00000231134.8	ENSP00000231134.5	NM_015669.5	26167	NP_056484.2
PCDHB6	ENSG00000113211.6	ENST00000231136.4	ENSP00000231136.1	NM_018939.4	56130	NP_061762.2
PCDHB7	ENSG00000113212.7	ENST00000231137.6	ENSP00000231137.3	NM_018940.4	56129	NP_061763.1
PCDHB8	ENSG00000120322.5	ENST00000239444.4	ENSP00000239444.2	NM_019120.5	56128	NP_061993.3
PCDHB9	ENSG00000177839.7	ENST00000316105.7	ENSP00000478606.1	NM_019119.5	56127	NP_061992.3
PCDHGA1	ENSG00000204956.7	ENST00000517417.3	ENSP00000431083.1	NM_018912.3	56114	NP_061735.1
PCDHGA10	ENSG00000253846.4	ENST00000398610.3	ENSP00000381611.2	NM_018913.3	56106	NP_061736.1
PCDHGA11	ENSG00000253873.7	ENST00000398587.7	ENSP00000381589.2	NM_018914.3	56105	NP_061737.1
PCDHGA12	ENSG00000253159.4	ENST00000252085.4	ENSP00000252085.3	NM_003735.3	26025	NP_003726.1
PCDHGA2	ENSG00000081853.16	ENST00000394576.3	ENSP00000378077.2	NM_018915.4	56113	NP_061738.1
PCDHGA3	ENSG00000254245.4	ENST00000253812.8	ENSP00000253812.7	NM_018916.4	56112	NP_061739.2
PCDHGA4	ENSG00000262576.4	ENST00000571252.3	ENSP00000458570.2	NM_018917.4	56111	NP_061740.2
PCDHGA5	ENSG00000253485.4	ENST00000518069.2	ENSP00000429834.1	NM_018918.3	56110	NP_061741.1
PCDHGA6	ENSG00000253731.4	ENST00000517434.3	ENSP00000429601.2	NM_018919.3	56109	NP_061742.1
PCDHGA7	ENSG00000253537.4	ENST00000518325.2	ENSP00000430024.1	NM_018920.4	56108	NP_061743.1
PCDHGA8	ENSG00000253767.4	ENST00000398604.3	ENSP00000381605.2	NM_032088.2	9708	NP_114477.1
PCDHGA9	ENSG00000261934.4	ENST00000573521.2	ENSP00000460274.1	NM_018921.3	56107	NP_061744.1
PCDHGB1	ENSG00000254221.4	ENST00000523390.2	ENSP00000429273.1	NM_018922.3	56104	NP_061745.1
PCDHGB2	ENSG00000253910.4	ENST00000522605.2	ENSP00000429018.1	NM_018923.3	56103	NP_061746.1
PCDHGB3	ENSG00000262209.4	ENST00000576222.2	ENSP00000461862.1	NM_018924.5	56102	NP_061747.2
PCDHGB4	ENSG00000253953.4	ENST00000519479.2	ENSP00000428288.1	NM_003736.4	8641	NP_003727.1
PCDHGB5	ENSG00000276547.3	ENST00000617380.2	ENSP00000478258.1	NM_018925.3	56101	NP_061748.1
PCDHGB6	ENSG00000253305.4	ENST00000520790.2	ENSP00000428603.1	NM_018926.3	56100	NP_061749.1
PCDHGB7	ENSG00000254122.4	ENST00000398594.4	ENSP00000381594.3	NM_018927.4	56099	NP_061750.1
PCDHGC3	ENSG00000240184.8	ENST00000308177.5	ENSP00000312070.3	NM_002588.4	5098	NP_002579.2
PCDHGC4	ENSG00000242419.7	ENST00000306593.2	ENSP00000306918.1	NM_018928.3	56098	NP_061751.1
PCDHGC5	ENSG00000240764.5	ENST00000252087.3	ENSP00000252087.2	NM_018929.3	56097	NP_061752.1
PCED1A	ENSG00000132635.19	ENST00000360652.7	ENSP00000353868.2	NM_022760.6	64773	NP_073597.2
PCED1B	ENSG00000179715.15	ENST00000546455.6	ENSP00000446688.1	NM_138371.3	91523	NP_612380.1
PCF11	ENSG00000165494.14	ENST00000690938.1	ENSP00000508500.1	NM_001346413.3	51585	NP_001333342.1
PCGF1	ENSG00000115289.16	ENST00000233630.11	ENSP00000233630.6	NM_032673.3	84759	NP_116062.2
PCGF2	ENSG00000277258.7	ENST00000620225.5	ENSP00000482815.1	NM_007144.3	7703	NP_009075.1
PCGF3	ENSG00000185619.21	ENST00000362003.10	ENSP00000354724.5	NM_006315.7	10336	NP_006306.2
PCGF5	ENSG00000180628.17	ENST00000336126.6	ENSP00000337500.5	NM_032373.5	84333	NP_115749.2
PCGF6	ENSG00000156374.18	ENST00000369847.4	ENSP00000358862.3	NM_001011663.2	84108	NP_001011663.1
PCID2	ENSG00000126226.24	ENST00000337344.9	ENSP00000337405.4	NM_001127202.4	55795	NP_001120674.1
PCIF1	ENSG00000100982.14	ENST00000372409.8	ENSP00000361486.3	NM_022104.4	63935	NP_071387.1
PCK1	ENSG00000124253.13	ENST00000319441.6	ENSP00000319814.4	NM_002591.4	5105	NP_002582.3
PCK2	ENSG00000100889.14	ENST00000216780.9	ENSP00000216780.4	NM_004563.4	5106	NP_004554.3
PCLAF	ENSG00000166803.16	ENST00000300035.9	ENSP00000300035.4	NM_014736.6	9768	NP_055551.1
PCLO	ENSG00000186472.22	ENST00000333891.14	ENSP00000334319.8	NM_033026.6	27445	NP_149015.2
PCM1	ENSG00000078674.22	ENST00000325083.13	ENSP00000327077.8	NM_006197.4	5108	NP_006188.4
PCMT1	ENSG00000120265.23	ENST00000464889.7	ENSP00000420813.2	NM_001360452.2	5110	NP_001347381.1
PCMTD1	ENSG00000168300.16	ENST00000522514.6	ENSP00000428099.1	NM_052937.4	115294	NP_443169.2
PCMTD2	ENSG00000203880.15	ENST00000308824.11	ENSP00000307854.6	NM_018257.3	55251	NP_060727.2
PCNA	ENSG00000132646.13	ENST00000379143.10	ENSP00000368438.5	NM_182649.2	5111	NP_872590.1
PCNP	ENSG00000081154.13	ENST00000265260.8	ENSP00000265260.3	NM_020357.3	57092	NP_065090.1
PCNT	ENSG00000160299.20	ENST00000359568.10	ENSP00000352572.5	NM_006031.6	5116	NP_006022.3
PCNX1	ENSG00000100731.17	ENST00000304743.7	ENSP00000304192.2	NM_014982.3	22990	NP_055797.2
PCNX2	ENSG00000135749.22	ENST00000258229.14	ENSP00000258229.8	NM_014801.4	80003	NP_055616.3
PCNX3	ENSG00000197136.7	ENST00000355703.4	ENSP00000347931.3	NM_032223.4	399909	NP_115599.2
PCNX4	ENSG00000126773.15	ENST00000406854.6	ENSP00000384801.1	NM_001330177.2	64430	NP_001317106.1
PCOLCE	ENSG00000106333.15	ENST00000223061.6	ENSP00000223061.5	NM_002593.4	5118	NP_002584.2
PCOLCE2	ENSG00000163710.11	ENST00000295992.8	ENSP00000295992.3	NM_013363.4	26577	NP_037495.1
PCP2	ENSG00000174788.11	ENST00000311069.6	ENSP00000310585.4	NM_174895.3	126006	NP_777555.1
PCP4	ENSG00000183036.12	ENST00000328619.10	ENSP00000329403.5	NM_006198.3	5121	NP_006189.2
PCP4L1	ENSG00000248485.4	ENST00000504449.2	ENSP00000426296.1	NM_001102566.2	654790	NP_001096036.1
PCSK1	ENSG00000175426.13	ENST00000311106.8	ENSP00000308024.2	NM_000439.5	5122	NP_000430.3
PCSK1N	ENSG00000102109.11	ENST00000218230.6	ENSP00000218230.5	NM_013271.5	27344	NP_037403.1
PCSK2	ENSG00000125851.12	ENST00000262545.7	ENSP00000262545.2	NM_002594.5	5126	NP_002585.2
PCSK4	ENSG00000115257.17	ENST00000300954.10	ENSP00000300954.5	NM_017573.5	54760	NP_060043.2
PCSK5	ENSG00000099139.16	ENST00000674117.1	ENSP00000500971.1	NM_001372043.1	5125	NP_001358972.1
PCSK6	ENSG00000140479.19	ENST00000611716.5	ENSP00000482760.1	NM_002570.5	5046	NP_002561.1
PCSK7	ENSG00000160613.17	ENST00000320934.8	ENSP00000325917.3	NM_004716.4	9159	NP_004707.2
PCSK9	ENSG00000169174.15	ENST00000302118.5	ENSP00000303208.5	NM_174936.4	255738	NP_777596.2
PCTP	ENSG00000141179.15	ENST00000268896.10	ENSP00000268896.4	NM_021213.4	58488	NP_067036.2
PCYOX1	ENSG00000116005.14	ENST00000433351.7	ENSP00000387654.2	NM_016297.4	51449	NP_057381.3
PCYOX1L	ENSG00000145882.13	ENST00000274569.9	ENSP00000274569.4	NM_024028.4	78991	NP_076933.3
PCYT1A	ENSG00000161217.14	ENST00000431016.6	ENSP00000394617.1	NM_001312673.2	5130	NP_001299602.1
